title,author,pub,date,price,grade
NFT for beginners: Earn 10k of month with Non-Fungible Tokens,,,,"77,420",
"Metaverse fur Einsteiger: Ein Vollstandiger Leitfaden Zum Investieren Im Metaverse Erfahren Sie Alles Uber Landinvestitionen, Nft Und Virtuelle",,,,"30,860",
Nfts Really Revolutionary: The Most Famous Type of Smart Contract Is Nfts Becoming Part of The Nft Community,,,,"34,800",
Nfts Really Revolutionary: The Most Famous Type of Smart Contract Is Nfts Becoming Part of The Nft Community,,,,"47,710",
60分でわかる! NFTビジネス超入門,森川 ミユキ,技術評論社,2022년 04월,"14,290",
Nft for Beginners: The Complete Guide to Investing,,,,"296,970",
The NFT Handbook: 2 Books in 1 - The Complete Guide for Beginners and Intermediate to Start Your Online Business with Non-Fungible Token,,,,"30,970",
Nft for Beginners: Non-Fungible Tokens: A Guide to Understanding and Profiting,,,,"284,060",
"The NFT And Metaverse Investing Book: Beginners Guide To Making Money In Virtual Real Estate, Digital Art, Video Games and Blockchain: Beginners Guide",,,,"19,360",
"Nft, Mine d'Or: Acteurs du crypto-art, saison 1",,,,"29,560",
Revolution of the NFT: You've learned all there is to know! The NFT manual is a must-have item,,,,"296,970",
Nft: How to Make Money with NFT and Ethereum is a Comprehensive Guide.,,,,"284,060",
"NFT HandBook. Beginner_s Guide 2022: What are Non-Fungible Tokens (NFTs) and how can you make them, purchase and trade them, and avoid scams?",,,,"296,970",
The NFT Art Marketplace: Trends and Considerations,,,,"12,750",
"Investing in Nft and Metaverse: A Step-by-Step Guide to Understanding Web 3.0. Learn about Metaverse, NFT (Non-Fungible Token), DEFI, and Blockchain G",,,,"296,970",
NFT FOR BEGINNERS,,,,"41,030",
Beginner's Guide to NFT 2022. NFT Handbook,,,,"326,000",
NFT FOR BEGINNERS,,,,"326,000",
NFT FOR BEGINNERS,,,,"326,000",
NFT  for beginners,,,,"56,680",
NFT  Investing,,,,"32,580",
한 권으로 끝내는 NFT 시크릿노트,"김덕보,박영주",보민출판사,2022년 03월,"10,000",
廣末凉子エッセイ『ヒロスエの思考地圖 しあわせのかたち』 NFTデジタル特典付き特裝版,히로스에 료코,寶島社,2022년 04월,"28,070",
"Metaverse Investing Beginners to Advance Invest in the Metaverse;  Cryptocurrency, NFT (non-fungible tokens) Crypto Art, Bitcoin, Virtual Land, Stocks, DEFI, Trading, ETF, 5G, Web3 & Blockchain Techno",,,,"35,410",
NFT Guide,,,,"240,950",
THE NFT,,,,"326,000",
The Nft Revolution,,,,"326,000",
NFT FOR BEGINNERS,,,,"326,000",
NFT FOR BEGINNERS 2022,,,,"240,950",
NFT Guide For Beginners,,,,"340,180",
NFT For Beginners,,,,"326,000",
2022 will be the year of the NFT revolution,,,,"326,000",
NFT Creation Explained Non Fungible Tokens Digital Art Era 2022,,,,"36,120",
메타버스 NFT 이코노미,주종민,진한엠앤비,2022년 03월,"18,000",
Non Fungible Token (NFT),,,,"21,240",
"Metaverse For Beginners 2022 The Ultimate Guide on Investing In Metaverse, Blockchain Gaming, Virtual Lands, Augmented Reality, Virtual Reality, NFT, Real Estate, Crypto And Web 3.0",,,,"28,330",
For Beginners in Nft Investing,,,,"285,010",
A Simple Guide to NFT Investing,,,,"285,010",
The Nft Bible,,,,"210,510",
Nft: A Complete Guide for Beginners to Invest and Make Profit From Nfts (The Ultimate Guide to Understand Non-fungible Toke,,,,"28,270",
"NFT - Non Fungible Tokens 2022: The Best Beginners Guide to Invest, create, buy and sell crypto art and collectibles with profit",,,,"45,340",
The Non-Fungible Booklet: The History and Technologies Behind NFT and how they are changing the art world,,,,"15,730",
NFT Art and Collectables for Beginners: The Must Have Guide for Understanding Non Fungible Tokens (NFTs),,,,"19,300",
"""불난호떡집"" NFT갤러리",김사무엘 & 이성원,로드윌,2022년 02월,"10,000",
메타버스 & NFT 교육용어 기초정리,윌리엄경,로드윌,2022년 02월,"10,000",
NFTビジネス見るだけノ-ト,增田 雅史,寶島社,2022년 03월,"25,760",
BLOCKCHAIN BASICS + DEFI CRYPTOCURRENCY + NFT FOR BEGINNERS - INVESTMENT GUIDE 3in1,,,,"56,680",
Manual de USO de Los Nft,,,,"27,050",
"Non-Fungible Tokens (NFTs) Collections Logbook for Investors NFT creator notepad NFT trader notebook NFT collector organiser Trade planner 50 pages, A",,,,"36,830",
Lana Del Rey - NFT! (CD),Lana Del Rey,Import Music,2019년 08월,"30,400",
NFT fur Einsteiger,,,,"32,450",
"NFT and Real Estate: The Complete Guide to Successfully Invest in, Create and Sell Non-Fungible Tokens in the Virtual Property Market",,,,"55,270",
NFT per Programmatori,,,,"39,200",
